Word,Index,Frequency
the,1,535929
to,2,370172
and,3,286126
a,4,261618
of,5,257973
in,6,203920
is,7,176792
that,8,172421
it,9,132990
for,10,126675
you,11,109544
be,12,100910
are,13,99191
can,14,93527
they,15,90485
on,16,83635
have,17,83175
this,18,81538
people,19,81331
not,20,73009
or,21,65591
with,22,63917
as,23,62741
more,24,60707
i,25,60357
their,26,59954
we,27,54079
by,28,49256
if,29,48332
because,30,44470
but,31,44181
electoral,32,43315
would,33,41847
there,34,40587
will,35,39082
from,36,39036
college,37,38224
your,38,38001
one,39,37318
car,40,37066
when,41,36835
has,42,36045
also,43,35280
our,44,33815
all,45,33467
an,46,32998
do,47,31930
what,48,31595
was,49,31449
like,50,31061
vote,51,30961
cars,52,30945
about,53,30438
so,54,30331
could,55,29952
should,56,29772
states,57,29339
help,58,29328
many,59,29238
make,60,28167
its,61,27840
students,62,27656
them,63,27463
some,64,27214
just,65,27151
how,66,26868
who,67,25997
get,68,25876
at,69,24883
other,70,24740
time,71,24578
than,72,24075
venus,73,23382
life,74,22564
may,75,22508
even,76,22358
while,77,22239
driving,78,22010
which,79,21542
use,80,21156
way,81,20724
think,82,20711
president,83,20155
better,84,19780
up,85,19334
only,86,18732
good,87,18682
these,88,18615
us,89,17741
system,90,17721
new,91,17593
my,92,17472
no,93,17463
face,94,17429
most,95,17404
dont,96,17261
out,97,17236
know,98,17032
why,99,17015
usage,100,16291
want,101,15926
world,102,15810
need,103,15755
person,104,15736
such,105,15566
work,106,15197
been,107,14989
school,108,14715
take,109,14681
technology,110,14549
popular,111,14481
different,112,14445
then,113,14400
important,114,14398
advice,115,14249
example,116,14154
being,117,14044
day,118,13730
votes,119,13309
much,120,13176
things,121,13149
go,122,12980
into,123,12745
something,124,12616
were,125,12496
see,126,12437
over,127,12051
less,128,11912
had,129,11822
very,130,11799
electors,131,11758
believe,132,11751
where,133,11730
he,134,11655
able,135,11637
election,136,11617
having,137,11362
another,138,11217
without,139,11053
limiting,140,10992
around,141,10925
state,142,10815
going,143,10804
any,144,10722
own,145,10613
always,146,10506
someone,147,10327
air,148,10304
others,149,10264
might,150,10190
well,151,10065
planet,152,9995
change,153,9988
using,154,9887
really,155,9876
those,156,9868
transportation,157,9839
first,158,9829
say,159,9825
best,160,9718
pollution,161,9603
mars,162,9551
phone,163,9507
now,164,9471
voters,165,9418
making,166,9351
reason,167,9313
each,168,9234
learn,169,9172
however,170,9081
percent,171,8889
conclusion,172,8785
student,173,8760
author,174,8714
earth,175,8660
made,176,8564
ask,177,8544
me,178,8471
feel,179,8395
idea,180,8351
through,181,8233
still,182,8113
become,183,8070
give,184,8029
due,185,7978
candidates,186,7954
thing,187,7888
multiple,188,7865
united,189,7781
environment,190,7702
lead,191,7681
smog,192,7624
voting,193,7618
reasons,194,7572
right,195,7542
same,196,7530
after,197,7517
process,198,7415
used,199,7414
emissions,200,7409
opinions,201,7385
public,202,7334
years,203,7269
both,204,7225
source,205,7208
gas,206,7204
every,207,7182
getting,208,7142
phones,209,7112
education,210,7110
lot,211,7055
candidate,212,7033
everyone,213,6969
often,214,6946
great,215,6903
article,216,6793
said,217,6750
doing,218,6748
too,219,6714
down,220,6701
find,221,6691
learning,222,6626
advantages,223,6614
future,224,6579
benefits,225,6561
keep,226,6552
his,227,6551
does,228,6538
emotions,229,6526
money,230,6495
human,231,6475
