Word,Index,Frequency
people,1,85061
car,2,68145
make,3,51179
vote,4,45807
electoral,5,43337
state,6,42969
would,7,41879
one,8,41705
college,9,38980
help,10,38926
use,11,38580
get,12,37810
student,13,36435
also,14,35311
like,15,31711
could,16,29975
well,17,29895
time,18,29784
go,19,29628
many,20,29258
life,21,29178
take,22,28341
way,23,27238
drive,24,26232
venus,25,24364
think,26,24320
say,27,23894
even,28,22823
may,29,22522
know,30,22174
need,31,22148
work,32,22089
president,33,21268
thing,34,21064
want,35,20225
face,36,19737
system,37,19238
good,38,18963
give,39,18649
u,40,18330
day,41,18082
school,42,17910
new,43,17648
person,44,17488
reason,45,17348
dont,46,17273
learn,47,16722
phone,48,16627
see,49,16588
usage,50,16416
world,51,16326
election,52,16173
example,53,16061
change,54,15856
technology,55,15383
candidate,56,15010
ask,57,14983
different,58,14501
popular,59,14485
advice,60,14422
important,61,14415
limit,62,14003
opinion,63,13939
feel,64,13268
idea,65,13256
much,66,13190
elector,67,13081
believe,68,12993
city,69,12788
lead,70,12644
something,71,12634
reduce,72,12311
come,73,12263
less,74,11922
year,75,11875
provide,76,11816
planet,77,11759
able,78,11647
become,79,11618
human,80,11445
look,81,11310
someone,82,11250
another,83,11228
show,84,11220
without,85,11066
around,86,10935
study,87,10884
try,88,10775
problem,89,10769
understand,90,10714
always,91,10514
cause,92,10375
air,93,10339
benefit,94,10316
create,95,10283
others,96,10278
decision,97,10259
great,98,10230
might,99,10201
voter,100,10192
place,101,10043
transportation,102,9924
really,103,9890
first,104,9846
earth,105,9834
best,106,9730
community,107,9696
pollution,108,9681
mar,109,9595
advantage,110,9588
author,111,9254
gas,112,9162
however,113,9084
conclusion,114,8959
percent,115,8929
keep,116,8893
country,117,8850
computer,118,8804
source,119,8762
emotion,120,8658
friend,121,8402
teacher,122,8285
right,123,8284
environment,124,8283
lot,125,8186
choice,126,8171
process,127,8163
find,128,8148
still,129,8125
due,130,7984
mean,131,7960
multiple,132,7922
emission,133,7899
individual,134,7840
united,135,7784
walk,136,7747
bad,137,7713
experience,138,7699
smog,139,7688
tell,140,7662
voting,141,7641
alien,142,7635
support,143,7611
class,144,7496
public,145,7379
talk,146,7354
every,147,7187
high,148,7170
article,149,7151
education,150,7123
big,151,7114
everyone,152,6978
improve,153,6977
often,154,6950
allow,155,6900
citizen,156,6886
ban,157,6806
driver,158,6769
young,159,6763
focus,160,6673
future,161,6645
choose,162,6629
large,163,6514
money,164,6511
start,165,6492
stress,166,6482
family,167,6464
put,168,6462
cell,169,6448
road,170,6435
fact,171,6413
point,172,6407
form,173,6373
opportunity,174,6365
vehicle,175,6304
easy,176,6301
positive,177,6262
nasa,178,6253
paris,179,6211
risk,180,6190
skill,181,6148
information,182,6136
explore,183,6133
job,184,6118
knowledge,185,6097
result,186,6092
home,187,6051
likely,188,6024
area,189,5974
since,190,5853
win,191,5845
increase,192,5789
activity,193,5774
number,194,5741
facial,195,5732
two,196,5718
happen,197,5714
amount,198,5689
greenhouse,199,5675
paragraph,200,5603
part,201,5559
consider,202,5539
decide,203,5494
instead,204,5480
today,205,5468
situation,206,5458
traffic,207,5455
attention,208,5437
challenge,209,5399
classroom,210,5381
away,211,5375
small,212,5336
picture,213,5282
elect,214,5265
success,215,5242
live,216,5236
child,217,5223
society,218,5217
clear,219,5176
issue,220,5170
health,221,5135
accident,222,5126
natural,223,5102
actually,224,5099
end,225,5055
long,226,5045
enough,227,5041
outcome,228,5012
impact,229,5004
never,230,4974
hand,231,4966
potential,232,4955
matter,233,4945
back,234,4944
thats,235,4942
action,236,4939
call,237,4936
group,238,4929
found,239,4866
rather,240,4833
level,241,4818
play,242,4786
